addr,data
0x1000,1
0x1002,2
0x1004,8
0x1006,3
0x1008,6
0x100A,32
0x100C,47
0x100E,-76
0x1010,-92
0x1012,69
0x1014,-18
0x1016,-63
0x1018,-23
0x101A,-59
0x101C,20
0x101E,80
0x1020,-13
0x1022,6
0x1024,-34
0x1026,86
0x1028,2
0x102A,-24
0x102C,5
0x102E,10
0x1030,-22
0x1032,0
0x1034,-91
0x1036,-13
0x1038,-34
0x103A,-51
0x103C,-80
0x103E,74
0x1040,51
0x1042,21
0x1044,-73
0x1046,-79
0x1048,60
0x104A,74
0x104C,5
0x104E,-94
0x1050,66
0x1052,-6
0x1054,-37
0x1056,67
0x1058,99
0x105A,-87
0x105C,-23
0x105E,67
0x1060,-63
0x1062,-54
0x1064,-23
0x1066,67
0x1068,-5
0x106A,-61
0x106C,-94
0x106E,30
0x1070,-54
0x1072,-18
0x1074,-11
0x1076,70
0x1078,41
0x107A,99
0x107C,2
0x107E,9
0x1080,-94
0x1082,77
0x1084,50
0x1086,5
0x1088,-19
0x108A,-25
0x108C,16
0x108E,16
0x1090,74
0x1092,-15
0x1094,16
0x1096,-33
0x1098,68
0x109A,-92
0x109C,-80
0x109E,-85
0x10A0,18
0x10A2,57
0x10A4,78
0x10A6,-97
0x10A8,47
0x10AA,-37
0x10AC,-56
0x10AE,63
0x10B0,-46
0x10B2,53
0x10B4,-50
0x10B6,35
0x10B8,-94
0x10BA,0
0x10BC,-15
0x10BE,97
0x10C0,-91
0x10C2,-17
0x10C4,-71
0x10C6,-74
0x10C8,49
0x10CA,35
0x10CC,67
0x10CE,-39
0x10D0,47
0x10D2,-93
0x10D4,90
0x10D6,-78
0x10D8,-81
0x10DA,78
0x10DC,-73
0x10DE,-61
0x10E0,84
0x10E2,-65
0x10E4,62
0x10E6,-8
0x10E8,-42
0x10EA,35
0x10EC,49
0x10EE,-2
0x10F0,70
0x10F2,-43
0x10F4,-89
0x10F6,-86
0x10F8,74
0x10FA,3
0x10FC,-32
0x10FE,-15
0x1100,-99
0x1102,-47
0x1104,26
0x1106,-11
0x1108,-67
0x110A,3
0x110C,72
0x110E,29
0x1110,-3
0x1112,-38
0x1114,-11
0x1116,36
0x1118,-78
0x111A,-62
0x111C,-79
0x111E,-48
0x1120,-81
0x1122,-29
0x1124,-16
0x1126,49
0x1128,53
0x112A,-77
0x112C,-63
0x112E,-1
0x1130,63
0x1132,-33
0x1134,-11
0x1136,-94
0x1138,-47
0x113A,-7
0x113C,-6
0x113E,95
0x1140,47
0x1142,-40
0x1144,29
0x1146,-97
0x1148,12
0x114A,63
0x114C,-51
0x114E,84
0x1150,-39
0x1152,-83
0x1154,-9
0x1156,4
0x1158,-88
0x115A,-70
0x115C,75
0x115E,-66
0x1160,-27
0x1162,-3
0x1164,-77
0x1166,-55
0x1168,13
0x116A,-38
0x116C,-56
0x116E,77
0x1170,96
0x1172,-2
0x1174,-91
0x1176,66
0x1178,-28
0x117A,61
0x117C,-88
0x117E,-70
0x1180,99
0x1182,30
0x1184,-38
0x1186,-67
0x1188,94
0x118A,63
0x118C,1
0x118E,-80
0x1190,-80
0x1192,-53
0x1194,99
0x1196,-66
0x1198,44
0x119A,-37
0x119C,-63
0x119E,48
0x11A0,46
0x11A2,26
0x11A4,-23
0x11A6,-47
0x11A8,81
0x11AA,43
0x11AC,-46
0x11AE,-53
0x11B0,-34
0x11B2,-96
0x11B4,-62
0x11B6,-37
0x11B8,-9
0x11BA,12
0x11BC,43
0x11BE,86
0x11C0,-65
0x11C2,-72
0x11C4,64
0x11C6,-59
0x11C8,90
0x11CA,44
0x11CC,68
0x11CE,-61
0x11D0,1
0x11D2,-52
0x11D4,-90
0x11D6,-71
0x11D8,33
0x11DA,84
0x11DC,94
0x11DE,87
0x11E0,99
0x11E2,46
0x11E4,-73
0x11E6,-82
0x11E8,79
0x11EA,-88
0x11EC,44
0x11EE,21
0x11F0,-63
0x11F2,31
0x11F4,-63
0x11F6,-100
0x11F8,0
0x11FA,-32
0x11FC,17
0x11FE,-32
0x1200,17
0x1202,54
0x1204,-37
0x1206,52
0x1208,80
0x120A,51
0x120C,32
0x120E,-41
0x1210,73
0x1212,21
0x1214,-76
0x1216,-2
0x1218,-70
0x121A,-18
0x121C,-76
0x121E,-14
0x1220,-50
0x1222,46
0x1224,70
0x1226,93
0x1228,21
0x122A,56
0x122C,-2
0x122E,1
0x1230,-10
0x1232,-28
0x1234,79
0x1236,53
0x1238,49
0x123A,53
0x123C,30
0x123E,49
0x1240,57
0x1242,-69
0x1244,73
0x1246,-90
0x1248,-61
0x124A,-85
0x124C,0
0x124E,-55
0x1250,-22
0x1252,34
0x1254,2
0x1256,-6
0x1258,-61
0x125A,-7
0x125C,-8
0x125E,97
0x1260,-95
0x1262,-51
0x1264,3
0x1266,29
0x1268,-99
0x126A,2
0x126C,-54
0x126E,38
0x1270,14
0x1272,66
0x1274,40
0x1276,66
0x1278,17
0x127A,-83
0x127C,23
0x127E,-31
0x1280,-12
0x1282,90
0x1284,-48
0x1286,-39
0x1288,61
0x128A,-22
0x128C,100
0x128E,-44
0x1290,-6
0x1292,-42
0x1294,-48
0x1296,-97
0x1298,-10
0x129A,82
0x129C,69
0x129E,-71
0x12A0,8
0x12A2,-93
0x12A4,38
0x12A6,55
0x12A8,43
0x12AA,-48
0x12AC,52
0x12AE,43
0x12B0,30
0x12B2,-25
0x12B4,50
0x12B6,97
0x12B8,68
0x12BA,-54
0x12BC,-78
0x12BE,-95
0x12C0,-11
0x12C2,-89
0x12C4,-23
0x12C6,-77
0x12C8,-6
0x12CA,-49
0x12CC,10
0x12CE,42
0x12D0,8
0x12D2,98
0x12D4,-2
0x12D6,78
0x12D8,8
0x12DA,-87
0x12DC,-22
0x12DE,90
0x12E0,64
0x12E2,75
0x12E4,-9
0x12E6,-28
0x12E8,-29
0x12EA,48
0x12EC,-62
0x12EE,40
0x12F0,11
0x12F2,-75
0x12F4,80
0x12F6,-18
0x12F8,51
0x12FA,24
0x12FC,29
0x12FE,-31
0x1300,-65
0x1302,-70
0x1304,39
0x1306,60
0x1308,51
0x130A,24
0x130C,45
0x130E,-35
0x1310,-2
0x1312,97
0x1314,-86
0x1316,-56
0x1318,39
0x131A,72
0x131C,49
0x131E,-7
0x1320,66
0x1322,82
0x1324,-17
0x1326,3
0x1328,-10
0x132A,-65
0x132C,20
0x132E,33
0x1330,95
0x1332,6
0x1334,78
0x1336,84
0x1338,-58
0x133A,-90
0x133C,-26
0x133E,-16
0x1340,0
0x1342,58
0x1344,13
0x1346,-62
0x1348,23
0x134A,91
0x134C,68
0x134E,-11
0x1350,19
0x1352,96
0x1354,75
0x1356,57
0x1358,-73
0x135A,-24
0x135C,16
0x135E,-59
0x1360,-15
0x1362,-95
0x1364,-89
0x1366,-95
0x1368,69
0x136A,95
0x136C,-86
0x136E,-40
0x1370,-68
0x1372,45
0x1374,18
0x1376,-61
0x1378,-47
0x137A,6
0x137C,32
0x137E,1
0x1380,-55
0x1382,89
0x1384,31
0x1386,9
0x1388,-96
0x138A,-10
0x138C,-70
0x138E,-16
0x1390,-61
0x1392,30
0x1394,50
0x1396,95
0x1398,24
0x139A,2
0x139C,-70
0x139E,84
0x13A0,35
0x13A2,64
0x13A4,-21
0x13A6,45
0x13A8,-81
0x13AA,-9
0x13AC,-67
0x13AE,22
0x13B0,74
0x13B2,51
0x13B4,-77
0x13B6,-72
0x13B8,-63
0x13BA,98
0x13BC,83
0x13BE,-11
0x13C0,-7
0x13C2,80
0x13C4,91
0x13C6,-65
0x13C8,61
0x13CA,77
0x13CC,-47
0x13CE,-48
0x13D0,-38
0x13D2,-23
0x13D4,80
0x13D6,11
0x13D8,-30
0x13DA,13
0x13DC,30
0x13DE,0
0x13E0,-52
0x13E2,-54
0x13E4,-9
0x13E6,0
0x13E8,33
0x13EA,-38
0x13EC,-72
0x13EE,-47
0x13F0,15
0x13F2,1
0x13F4,-43
0x13F6,29
0x13F8,97
0x13FA,-41
0x13FC,-62
0x13FE,24
0x1400,-15
0x1402,-43
0x1404,22
0x1406,90
0x1408,21
0x140A,27
0x140C,-68
0x140E,-73
0x1410,80
0x1412,-41
0x1414,91
0x1416,-13
0x1418,80
0x141A,-15
0x141C,66
0x141E,-75
0x1420,-29
0x1422,60
0x1424,24
0x1426,-72
0x1428,68
0x142A,-100
0x142C,-89
0x142E,-46
0x1430,8
0x1432,27
0x1434,20
0x1436,-24
0x1438,-26
0x143A,-77
0x143C,-47
0x143E,-4
0x1440,18
0x1442,-74
0x1444,82
0x1446,80
0x1448,-8
0x144A,-91
0x144C,11
0x144E,90
0x1450,5
0x1452,-12
0x1454,45
0x1456,73
0x1458,-89
0x145A,-94
0x145C,-97
0x145E,21
0x1460,-54
0x1462,-54
0x1464,8
0x1466,-65
0x1468,27
0x146A,92
0x146C,24
0x146E,-32
0x1470,-75
0x1472,-54
0x1474,-12
0x1476,-44
0x1478,-68
0x147A,99
0x147C,-14
0x147E,-52
0x1480,22
0x1482,36
0x1484,81
0x1486,21
0x1488,99
0x148A,73
0x148C,45
0x148E,9
0x1490,-15
0x1492,1
0x1494,-57
0x1496,23
0x1498,-69
0x149A,12
0x149C,73
0x149E,19
0x14A0,-64
0x14A2,56
0x14A4,100
0x14A6,65
0x14A8,20
0x14AA,-12
0x14AC,63
0x14AE,-56
0x14B0,72
0x14B2,-59
0x14B4,71
0x14B6,55
0x14B8,98
0x14BA,-74
0x14BC,71
0x14BE,-67
0x14C0,-20
0x14C2,-70
0x14C4,-73
0x14C6,-41
0x14C8,1
0x14CA,-24
0x14CC,-47
0x14CE,-62
0x14D0,-58
0x14D2,-88
0x14D4,96
0x14D6,-14
0x14D8,-78
0x14DA,-56
0x14DC,-47
0x14DE,-29
0x14E0,49
0x14E2,-23
0x14E4,-84
0x14E6,-50
0x14E8,44
0x14EA,-89
0x14EC,63
0x14EE,27
0x14F0,-96
0x14F2,-34
0x14F4,-62
0x14F6,63
0x14F8,-46
0x14FA,68
0x14FC,94
0x14FE,37
0x1500,-14
0x1502,62
0x1504,77
0x1506,92
0x1508,-50
0x150A,-97
0x150C,-7
0x150E,94
0x1510,48
0x1512,-37
0x1514,-62
0x1516,-37
0x1518,-20
0x151A,-57
0x151C,2
0x151E,-52
0x1520,43
0x1522,-73
0x1524,56
0x1526,51
0x1528,-93
0x152A,58
0x152C,-16
0x152E,-89
0x1530,15
0x1532,-59
0x1534,57
0x1536,47
0x1538,86
0x153A,-91
0x153C,-32
0x153E,-29
0x1540,19
0x1542,-96
0x1544,-24
0x1546,-35
0x1548,35
0x154A,-96
0x154C,79
0x154E,-24
0x1550,1
0x1552,45
0x1554,-98
0x1556,-36
0x1558,87
0x155A,98
0x155C,52
0x155E,99
0x1560,-58
0x1562,17
0x1564,-88
0x1566,33
0x1568,-63
0x156A,-8
0x156C,90
0x156E,-64
0x1570,-54
0x1572,-23
0x1574,14
0x1576,-32
0x1578,-18
0x157A,81
0x157C,-75
0x157E,15
0x1580,-100
0x1582,67
0x1584,-32
0x1586,-45
0x1588,18
0x158A,-95
0x158C,-33
0x158E,81
0x1590,62
0x1592,36
0x1594,65
0x1596,-92
0x1598,-100
0x159A,-50
0x159C,77
0x159E,-88
0x15A0,21
0x15A2,80
0x15A4,-23
0x15A6,-88
0x15A8,-7
0x15AA,-66
0x15AC,-67
0x15AE,-18
0x15B0,-29
0x15B2,44
0x15B4,83
0x15B6,-23
0x15B8,-97
0x15BA,-52
0x15BC,-14
0x15BE,60
0x15C0,-14
0x15C2,-45
0x15C4,15
0x15C6,-92
0x15C8,16
0x15CA,10
0x15CC,-77
0x15CE,89
0x15D0,89
0x15D2,52
0x15D4,100
0x15D6,57
0x15D8,-19
0x15DA,-7
0x15DC,97
0x15DE,-59
0x15E0,24
0x15E2,-51
0x15E4,-76
0x15E6,-100
0x15E8,-61
0x15EA,97
0x15EC,-2
0x15EE,61
0x15F0,-9
0x15F2,82
0x15F4,76
0x15F6,-83
0x15F8,76
0x15FA,100
0x15FC,40
0x15FE,75
0x1600,0
0x1602,-64
0x1604,77
0x1606,-42
0x1608,-40
0x160A,-4
0x160C,67
0x160E,-66
0x1610,50
0x1612,26
0x1614,63
0x1616,59
0x1618,62
0x161A,-76
0x161C,20
0x161E,93
0x1620,50
0x1622,-47
0x1624,44
0x1626,26
0x1628,2
0x162A,63
0x162C,-10
0x162E,24
0x1630,10
0x1632,-76
0x1634,18
0x1636,-17
0x1638,-53
0x163A,70
0x163C,-59
0x163E,100
0x1640,27
0x1642,-24
0x1644,1
0x1646,42
0x1648,-2
0x164A,-36
0x164C,-43
0x164E,-18
0x1650,-24
0x1652,26
0x1654,50
0x1656,-70
0x1658,41
0x165A,-1
0x165C,61
0x165E,-42
0x1660,-42
0x1662,100
0x1664,1
0x1666,-39
0x1668,-71
0x166A,57
0x166C,5
0x166E,-69
0x1670,23
0x1672,-10
0x1674,77
0x1676,72
0x1678,92
0x167A,-11
0x167C,-45
0x167E,66
0x1680,-19
0x1682,13
0x1684,-27
0x1686,51
0x1688,59
0x168A,-20
0x168C,78
0x168E,-65
0x1690,-53
0x1692,17
0x1694,18
0x1696,56
0x1698,71
0x169A,-11
0x169C,27
0x169E,8
0x16A0,-36
0x16A2,-3
0x16A4,94
0x16A6,40
0x16A8,70
0x16AA,38
0x16AC,-44
0x16AE,3
0x16B0,-68
0x16B2,-3
0x16B4,70
0x16B6,-20
0x16B8,-9
0x16BA,-75
0x16BC,6
0x16BE,56
0x16C0,24
0x16C2,-91
0x16C4,21
0x16C6,-67
0x16C8,14
0x16CA,50
0x16CC,-18
0x16CE,32
0x16D0,-41
0x16D2,-88
0x16D4,1
0x16D6,-89
0x16D8,22
0x16DA,-96
0x16DC,82
0x16DE,10
0x16E0,-33
0x16E2,-63
0x16E4,48
0x16E6,96
0x16E8,20
0x16EA,-50
0x16EC,67
0x16EE,-89
0x16F0,67
0x16F2,-88
0x16F4,92
0x16F6,-83
0x16F8,78
0x16FA,-65
0x16FC,-86
0x16FE,-68
0x1700,58
0x1702,100
0x1704,-21
0x1706,57
0x1708,61
0x170A,-35
0x170C,-85
0x170E,30
0x1710,49
0x1712,55
0x1714,94
0x1716,-56
0x1718,81
0x171A,97
0x171C,29
0x171E,-88
0x1720,-13
0x1722,37
0x1724,-7
0x1726,-77
0x1728,-95
0x172A,60
0x172C,40
0x172E,62
0x1730,49
0x1732,40
0x1734,-80
0x1736,-41
0x1738,98
0x173A,88
0x173C,60
0x173E,43
0x1740,82
0x1742,68
0x1744,-18
0x1746,34
0x1748,56
0x174A,-93
0x174C,-64
0x174E,-90
0x1750,-94
0x1752,37
0x1754,33
0x1756,-33
0x1758,-95
0x175A,-23
0x175C,-85
0x175E,18
0x1760,-70
0x1762,69
0x1764,-77
0x1766,92
0x1768,-51
0x176A,-16
0x176C,80
0x176E,12
0x1770,76
0x1772,-90
0x1774,86
0x1776,49
0x1778,-29
0x177A,12
0x177C,-85
