Status,Source Unit,Destination Unit,Source Clock Domain,Destination Clock Domain,Local Source Clock,Local Destination Clock,Pair Classification,Violation,Scheme,Id,Domain Crossing,Number of Pair Bits
Passed,u_Handshake_syn.dack,u_Handshake_syn.LowerNDFF.A1,clk2,clk1,clk2,clk1,Control,,u_Handshake_syn.din,1,{clk2 clk1},1
Passed,u_NTT.out_data_reg[68],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,2,{clk2 clk3},16
Passed,u_NTT.out_data_reg[42],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,3,{clk2 clk3},16
Passed,u_Handshake_syn.data,u_Handshake_syn.dout,clk1,clk2,clk1,clk2,Data,,u_Handshake_syn.din,4,{clk1 clk2},32
Passed,u_NTT.out_data_reg[13],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,5,{clk2 clk3},16
Passed,u_NTT.out_data_reg[113],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,6,{clk2 clk3},16
Passed,u_NTT.out_data_reg[44],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,7,{clk2 clk3},16
Passed,u_Handshake_syn.sreq,u_Handshake_syn.UpperNDFF.A1,clk1,clk2,clk1,clk2,Control,,u_Handshake_syn.din,8,{clk1 clk2},1
Passed,u_NTT.out_data_reg[38],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,9,{clk2 clk3},16
Passed,u_FIFO_syn.rptr[5],u_FIFO_syn.sync_wq2.genblk1[5].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,10,{clk3 clk2},1
Passed,u_FIFO_syn.rptr[6],u_FIFO_syn.sync_wq2.genblk1[6].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,11,{clk3 clk2},1
Passed,u_FIFO_syn.wptr[0],u_FIFO_syn.sync_rq2.genblk1[0].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,12,{clk2 clk3},1
Passed,u_FIFO_syn.rptr[0],u_FIFO_syn.sync_wq2.genblk1[0].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,13,{clk3 clk2},1
Passed,u_NTT.out_data_reg[54],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,14,{clk2 clk3},16
Passed,u_FIFO_syn.wptr[6],u_FIFO_syn.sync_rq2.genblk1[6].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,15,{clk2 clk3},1
Passed,u_FIFO_syn.wptr[5],u_FIFO_syn.sync_rq2.genblk1[5].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,16,{clk2 clk3},1
Passed,u_FIFO_syn.rptr[4],u_FIFO_syn.sync_wq2.genblk1[4].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,17,{clk3 clk2},1
Passed,u_NTT.out_data_reg[40],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,18,{clk2 clk3},16
Passed,u_FIFO_syn.wptr[3],u_FIFO_syn.sync_rq2.genblk1[3].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,19,{clk2 clk3},1
Passed,u_FIFO_syn.rptr[1],u_FIFO_syn.sync_wq2.genblk1[1].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,20,{clk3 clk2},1
Passed,u_FIFO_syn.wptr[2],u_FIFO_syn.sync_rq2.genblk1[2].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,21,{clk2 clk3},1
Passed,u_FIFO_syn.wptr[4],u_FIFO_syn.sync_rq2.genblk1[4].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,22,{clk2 clk3},1
Passed,u_NTT.out_data_reg[109],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,23,{clk2 clk3},16
Passed,u_FIFO_syn.rptr[2],u_FIFO_syn.sync_wq2.genblk1[2].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn.rdata,24,{clk3 clk2},1
Passed,clk2,u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,25,{clk2 clk3},16
Passed,u_FIFO_syn.waddr[5:0],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,26,{clk2 clk3},96
Passed,u_FIFO_syn.wfull,u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,27,{clk2 clk3},16
Passed,u_NTT.output_cnt,u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,28,{clk2 clk3},128
Passed,u_NTT.out_data_reg[127],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,29,{clk2 clk3},16
Passed,u_NTT.out_data_reg[126],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,30,{clk2 clk3},16
Passed,u_NTT.out_data_reg[125],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,31,{clk2 clk3},16
Passed,u_NTT.out_data_reg[124],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,32,{clk2 clk3},16
Passed,u_NTT.out_data_reg[123],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,33,{clk2 clk3},16
Passed,u_FIFO_syn.wptr[1],u_FIFO_syn.sync_rq2.genblk1[1].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn.rdata,34,{clk2 clk3},1
Passed,u_NTT.out_data_reg[122],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,35,{clk2 clk3},16
Passed,u_NTT.out_data_reg[121],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,36,{clk2 clk3},16
Passed,u_NTT.out_data_reg[119],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,37,{clk2 clk3},16
Passed,u_NTT.out_data_reg[117],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,38,{clk2 clk3},16
Passed,u_NTT.out_data_reg[115],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,39,{clk2 clk3},16
Passed,u_NTT.out_data_reg[114],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,40,{clk2 clk3},16
Passed,u_NTT.out_data_reg[111],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,41,{clk2 clk3},16
Passed,u_NTT.out_data_reg[110],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,42,{clk2 clk3},16
Passed,u_NTT.out_data_reg[108],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,43,{clk2 clk3},16
Passed,u_NTT.out_data_reg[107],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,44,{clk2 clk3},16
Passed,u_NTT.out_data_reg[106],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,45,{clk2 clk3},16
Passed,u_NTT.out_data_reg[105],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,46,{clk2 clk3},16
Passed,u_NTT.out_data_reg[104],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,47,{clk2 clk3},16
Passed,u_NTT.out_data_reg[102],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,48,{clk2 clk3},16
Passed,u_NTT.out_data_reg[101],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,49,{clk2 clk3},16
Passed,u_NTT.out_data_reg[100],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,50,{clk2 clk3},16
Passed,u_NTT.out_data_reg[99],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,51,{clk2 clk3},16
Passed,u_NTT.out_data_reg[83],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,52,{clk2 clk3},16
Passed,u_NTT.out_data_reg[98],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,53,{clk2 clk3},16
Passed,u_NTT.out_data_reg[97],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,54,{clk2 clk3},16
Passed,u_NTT.out_data_reg[96],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,55,{clk2 clk3},16
Passed,u_NTT.out_data_reg[95],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,56,{clk2 clk3},16
Passed,u_NTT.out_data_reg[93],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,57,{clk2 clk3},16
Passed,u_NTT.out_data_reg[92],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,58,{clk2 clk3},16
Passed,u_NTT.out_data_reg[87],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,59,{clk2 clk3},16
Passed,u_NTT.out_data_reg[91],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,60,{clk2 clk3},16
Passed,u_NTT.out_data_reg[90],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,61,{clk2 clk3},16
Passed,u_NTT.out_data_reg[89],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,62,{clk2 clk3},16
Passed,u_NTT.out_data_reg[88],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,63,{clk2 clk3},16
Passed,u_NTT.out_data_reg[86],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,64,{clk2 clk3},16
Passed,u_NTT.out_data_reg[85],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,65,{clk2 clk3},16
Passed,u_NTT.out_data_reg[84],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,66,{clk2 clk3},16
Passed,u_NTT.out_data_reg[82],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,67,{clk2 clk3},16
Passed,u_NTT.out_data_reg[78],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,68,{clk2 clk3},16
Passed,u_NTT.out_data_reg[77],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,69,{clk2 clk3},16
Passed,u_NTT.out_data_reg[76],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,70,{clk2 clk3},16
Passed,u_NTT.out_data_reg[75],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,71,{clk2 clk3},16
Passed,u_NTT.out_data_reg[74],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,72,{clk2 clk3},16
Passed,u_NTT.out_data_reg[73],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,73,{clk2 clk3},16
Passed,u_NTT.out_data_reg[72],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,74,{clk2 clk3},16
Passed,u_NTT.out_data_reg[71],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,75,{clk2 clk3},16
Passed,u_NTT.out_data_reg[67],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,76,{clk2 clk3},16
Passed,u_NTT.out_data_reg[66],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,77,{clk2 clk3},16
Passed,u_NTT.out_data_reg[65],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,78,{clk2 clk3},16
Passed,u_NTT.out_data_reg[64],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,79,{clk2 clk3},16
Passed,u_NTT.out_data_reg[63],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,80,{clk2 clk3},16
Passed,u_NTT.out_data_reg[62],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,81,{clk2 clk3},16
Passed,u_NTT.out_data_reg[61],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,82,{clk2 clk3},16
Passed,u_NTT.out_data_reg[60],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,83,{clk2 clk3},16
Passed,u_NTT.out_data_reg[59],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,84,{clk2 clk3},16
Passed,u_NTT.out_data_reg[56],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,85,{clk2 clk3},16
Passed,u_NTT.out_data_reg[55],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,86,{clk2 clk3},16
Passed,u_NTT.out_data_reg[52],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,87,{clk2 clk3},16
Passed,u_NTT.out_data_reg[51],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,88,{clk2 clk3},16
Passed,u_NTT.out_data_reg[50],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,89,{clk2 clk3},16
Passed,u_NTT.out_data_reg[43],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,90,{clk2 clk3},16
Passed,u_NTT.out_data_reg[48],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,91,{clk2 clk3},16
Passed,u_NTT.out_data_reg[41],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,92,{clk2 clk3},16
Passed,u_NTT.out_data_reg[39],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,93,{clk2 clk3},16
Passed,u_NTT.out_data_reg[37],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,94,{clk2 clk3},16
Passed,u_NTT.out_data_reg[36],u_FIFO_syn.rdata,clk2,clk3,clk2,clk3,Data,,u_FIFO_syn.rdata,95,{clk2 clk3},16
